omega,P_omega_delta_0.15,P_omega_delta_-0.15
-4157.3,1.6577527460737412e-20,1.6236339802271118e-20
-4157.1,3.5766315930508625e-20,4.458691320518143e-21
-4156.9,3.329575274432884e-20,1.9857606780872847e-21
-4156.7,1.0120728263188288e-20,1.3674082221832642e-20
-4156.5,5.2538393554515804e-20,1.878356133350354e-21
-4156.3,1.1554964899332609e-20,1.4980420468487938e-21
-4156.1,4.648864619361376e-20,1.5823668338512656e-20
-4155.9,2.0075933541718863e-20,3.0473244412042503e-22
-4155.7,2.507264896479731e-20,7.954438058306876e-22
-4155.5,4.241509145485538e-20,1.9721919224788056e-21
-4155.3,2.84555670619441e-20,3.569544426695758e-21
-4155.099999999999,1.9260027513978246e-20,3.792439313823048e-21
-4154.9,3.7455922420604405e-20,1.6224836555021043e-20
-4154.7,2.839009094710789e-20,2.7964344585742062e-21
-4154.5,1.9550764319503192e-20,1.9283206930230803e-21
-4154.3,4.065391081060768e-20,3.175038037331935e-21
-4154.099999999999,3.953238564921428e-20,3.1569231361723407e-21
-4153.9,2.3910086704684297e-20,7.88857949658404e-21
-4153.7,3.1699227716544875e-20,2.6351115335628115e-21
-4153.5,2.2780462652337187e-20,3.40848340611512e-21
-4153.3,4.65416490902591e-20,1.2106835531516992e-21
-4153.099999999999,3.0620872661962025e-20,2.2877121688968196e-21
-4152.9,4.418120312009086e-20,3.410654334174136e-21
-4152.7,2.963317760318025e-20,6.561463998723866e-22
-4152.5,4.154254169191975e-20,3.5464340808467776e-22
-4152.3,2.3607048044955244e-20,9.580637406742414e-22
-4152.099999999999,6.474222689153757e-20,6.423299840563638e-21
-4151.9,1.6359089831252264e-20,6.11387611364245e-22
-4151.7,4.471666369978242e-20,4.0580489670051505e-22
-4151.5,3.480063688110511e-20,4.54667799327965e-21
-4151.3,4.781428008923713e-20,1.1221874250693853e-21
-4151.099999999999,1.2361870415535649e-20,4.142488414246129e-21
-4150.9,5.857752214113724e-20,1.3270625482811195e-22
-4150.7,5.137943718458887e-20,3.244867124671767e-21
-4150.5,2.7123986491887e-20,6.383078902814117e-22
-4150.299999999999,5.450894825691463e-20,4.05651658070635e-21
-4150.099999999999,1.3375181774275896e-20,4.315260144789068e-22
-4149.9,4.702340242042653e-20,6.207527942662811e-21
-4149.7,5.500281057531631e-20,3.322897728554086e-21
-4149.5,2.43552534239128e-20,6.132657105214858e-22
-4149.299999999999,4.450176053723069e-20,8.824451257166789e-21
-4149.099999999999,3.9211687891223606e-20,6.5570684504763405e-21
-4148.9,5.508878726528744e-20,6.921124832339592e-21
-4148.7,1.6309525720737083e-20,2.205613172185942e-22
-4148.5,5.1275038739722054e-20,3.660349127889716e-21
-4148.299999999999,4.041412904527365e-20,3.925427508678249e-21
-4148.099999999999,4.5180214737198414e-20,2.42348849512061e-21
-4147.9,3.619151706182576e-20,3.110013376848921e-21
-4147.7,5.543606184401627e-20,3.737545551778768e-21
-4147.5,3.3579200504517626e-20,7.17021623566689e-21
-4147.299999999999,2.2715450755461203e-20,4.139084754674208e-21
-4147.099999999999,8.147559679369163e-20,6.931761046414992e-22
-4146.9,3.293376531294951e-20,3.1073834621212946e-21
-4146.7,3.735516270581225e-20,3.373647472565339e-21
-4146.5,6.860094688256867e-20,1.169842175380834e-21
-4146.299999999999,5.3028658501458026e-20,4.030012223238357e-21
-4146.099999999999,2.8066997389285416e-20,7.430575242314572e-21
-4145.9,3.8116309442047007e-20,1.0544367649317284e-20
-4145.7,5.435111757226466e-20,5.239132790561215e-21
-4145.499999999999,4.586617412631663e-20,7.51209287680365e-21
-4145.299999999999,6.422802381320735e-20,1.5170736254377652e-20
-4145.099999999999,4.4737602879060266e-20,7.567810553846896e-22
