omega,P_omega_delta_0.15,P_omega_delta_-0.15
-1762.5,6.460252784342588e-17,1.5608383216157366e-18
-1762.3,6.492662369626104e-17,1.5628155966270847e-18
-1762.1000000000001,6.48810624228622e-17,1.5802143153025165e-18
-1761.9,6.488291404218464e-17,1.5479598983908035e-18
-1761.7,6.479101842632214e-17,1.576827363515731e-18
-1761.5,6.492208132028087e-17,1.559411712511397e-18
-1761.3,6.490058497708159e-17,1.5448432268393244e-18
-1761.1,6.50210939302816e-17,1.5786284038235766e-18
-1760.9,6.46998703362497e-17,1.565042201033216e-18
-1760.7,6.513494385883796e-17,1.5710737050051165e-18
-1760.5,6.493445656281662e-17,1.5659691152587596e-18
-1760.3,6.493882416706382e-17,1.5486621236624697e-18
-1760.1,6.506436885934395e-17,1.5784787652349591e-18
-1759.8999999999999,6.498843165038711e-17,1.5597458715316604e-18
-1759.7,6.494024953473201e-17,1.5715134883475715e-18
-1759.5,6.518677324277572e-17,1.5709498531990945e-18
-1759.3,6.48761633502732e-17,1.5576721809666326e-18
-1759.1,6.528431954192764e-17,1.5814167692596302e-18
-1758.8999999999999,6.505940499359784e-17,1.5784658948736155e-18
-1758.6999999999998,6.504152107823162e-17,1.5445277178124383e-18
-1758.5,6.506551032723739e-17,1.5823359667007132e-18
-1758.3,6.517161319245753e-17,1.584451578888369e-18
-1758.1,6.520250985640478e-17,1.554427129829607e-18
-1757.8999999999999,6.527680260938611e-17,1.57350235198548e-18
-1757.6999999999998,6.498612439044755e-17,1.5558085805067644e-18
-1757.4999999999998,6.52547159297714e-17,1.586603565246596e-18
-1757.3,6.544860072685921e-17,1.568781744835739e-18
-1757.1,6.490711262706931e-17,1.5701407548038226e-18
-1756.8999999999999,6.536402588676105e-17,1.5812652707143675e-18
-1756.6999999999998,6.526995266049593e-17,1.5647478131668682e-18
-1756.4999999999998,6.524880657955445e-17,1.5749834991320454e-18
-1756.2999999999997,6.538322819438829e-17,1.5760299518904265e-18
-1756.1,6.525776033320305e-17,1.5679622811494002e-18
-1755.8999999999999,6.535300712586455e-17,1.5802356129185486e-18
-1755.6999999999998,6.528228097499158e-17,1.572554705253236e-18
-1755.4999999999998,6.553851893832729e-17,1.566258085134312e-18
-1755.2999999999997,6.528367599834133e-17,1.6094171094845828e-18
-1755.0999999999997,6.52591844434637e-17,1.5440328895688478e-18
-1754.8999999999999,6.545651291416319e-17,1.5619163085778843e-18
-1754.6999999999998,6.5502141395829e-17,1.6305170290629888e-18
-1754.4999999999998,6.551132765885736e-17,1.5426182152129269e-18
-1754.2999999999997,6.52433765568591e-17,1.5790012838183476e-18
-1754.0999999999997,6.569556428026251e-17,1.5875235421259288e-18
-1753.8999999999996,6.534795781201399e-17,1.5700990789096034e-18
-1753.6999999999998,6.558464833628048e-17,1.5689558613884578e-18
-1753.4999999999998,6.532213966885037e-17,1.6102450804800861e-18
-1753.2999999999997,6.572989806606978e-17,1.5488349004192004e-18
-1753.0999999999997,6.55206914260385e-17,1.5959605507256015e-18
-1752.9,6.554091905192561e-17,1.5778859653177979e-18
-1752.7000000000003,6.565433880674784e-17,1.594947045670148e-18
-1752.5000000000002,6.547063806150846e-17,1.5550296509384237e-18
-1752.3000000000002,6.56045191925419e-17,1.5842976911106308e-18
-1752.1000000000001,6.578503447744962e-17,1.592878893508729e-18
-1751.9,6.554537760299459e-17,1.5881287174594754e-18
-1751.7,6.571970807769238e-17,1.5661935994999626e-18
-1751.5000000000002,6.567783211764535e-17,1.575980380330501e-18
-1751.3000000000002,6.556951400399374e-17,1.6118828315667443e-18
-1751.1000000000001,6.585882149625326e-17,1.5662141551436346e-18
-1750.9,6.56148044064169e-17,1.5798878393286668e-18
-1750.7,6.588963345300784e-17,1.5963185433447324e-18
-1750.5,6.559402045256181e-17,1.5686711091155013e-18
-1750.3000000000002,6.581145543886205e-17,1.6006876883089106e-18
-1750.1000000000001,6.58480900932468e-17,1.5836986269665416e-18
-1749.9,6.569182213341692e-17,1.5840059945428569e-18
-1749.7,6.59723955624665e-17,1.5834431440528114e-18
-1749.5,6.574289534737852e-17,1.5811670364263137e-18
-1749.3,6.59126325857267e-17,1.5981596358425058e-18
-1749.1000000000001,6.586977288850002e-17,1.5941330271716378e-18
-1748.9,6.581133672187513e-17,1.5733379675458148e-18
-1748.7,6.603528301443393e-17,1.6082622650421225e-18
-1748.5,6.56954544103575e-17,1.5584880725378771e-18
-1748.3,6.606964307356582e-17,1.6080645563076574e-18
-1748.1,6.59931897732951e-17,1.583023371276658e-18
-1747.9,6.58557763934775e-17,1.597126591549759e-18
-1747.7,6.611474774963922e-17,1.581182155637411e-18
-1747.5,6.591599852992494e-17,1.6015053532343325e-18
-1747.3,6.60143933022083e-17,1.5834823533645537e-18
-1747.1,6.605944381808763e-17,1.583219764400619e-18
-1746.8999999999999,6.60684066398853e-17,1.6033854504199323e-18
-1746.7,6.599867430863132e-17,1.598439649550479e-18
-1746.5,6.604049277111724e-17,1.5871977196220648e-18
-1746.3,6.6153348989062e-17,1.5703894462496752e-18
-1746.1,6.613955782338801e-17,1.6201915035263804e-18
-1745.8999999999999,6.601833591831513e-17,1.5850809772580289e-18
-1745.6999999999998,6.624736940329901e-17,1.5922465195623208e-18
-1745.5,6.620447961452173e-17,1.596089560500165e-18
-1745.3,6.609075463797719e-17,1.5980779904825824e-18
-1745.1,6.6109268076417e-17,1.5894784265282917e-18
-1744.8999999999999,6.647300508330783e-17,1.5961671829117043e-18
-1744.6999999999998,6.597695018742493e-17,1.615700252824596e-18
-1744.4999999999998,6.62492506282338e-17,1.5889314785662449e-18
-1744.3,6.628393486316349e-17,1.571220213253971e-18
-1744.1,6.634927550024759e-17,1.6280025793819095e-18
-1743.8999999999999,6.624238204780613e-17,1.5774908706826782e-18
-1743.6999999999998,6.627474661758477e-17,1.6031781031826628e-18
-1743.4999999999998,6.636631357801061e-17,1.6078424759152204e-18
-1743.2999999999997,6.632652266232637e-17,1.5905693938021917e-18
-1743.1,6.642665119643204e-17,1.5908669251565569e-18
-1742.8999999999999,6.613252190797135e-17,1.6003392726823506e-18
-1742.6999999999998,6.659221134205284e-17,1.6132432253613085e-18
-1742.4999999999998,6.625482475895094e-17,1.5958455124367114e-18
-1742.2999999999997,6.654531802731575e-17,1.6212386052628925e-18
-1742.0999999999997,6.646031398640805e-17,1.5667148138509856e-18
-1741.8999999999999,6.629100225342878e-17,1.6009783177439566e-18
-1741.6999999999998,6.659748852992056e-17,1.5966842356148473e-18
-1741.4999999999998,6.645265979384098e-17,1.6472458936373858e-18
-1741.2999999999997,6.648653704136908e-17,1.578170847502482e-18
-1741.0999999999997,6.653572626815539e-17,1.6158846018248187e-18
-1740.8999999999996,6.645009494957778e-17,1.5737651698684623e-18
-1740.6999999999998,6.666182591590329e-17,1.6107116590984436e-18
-1740.4999999999998,6.641283306467784e-17,1.6253420141501825e-18
-1740.3000000000002,6.672627124911382e-17,1.5911632167044215e-18
-1740.1000000000001,6.65344601876226e-17,1.5974013038640701e-18
-1739.9,6.658786668681285e-17,1.6153965758983113e-18
-1739.7,6.669067665830655e-17,1.6107858592251256e-18
-1739.5000000000002,6.655532238502733e-17,1.6036509938915007e-18
-1739.3000000000002,6.672705087814299e-17,1.6066570530340762e-18
-1739.1000000000001,6.667255252221382e-17,1.5958728207732554e-18
-1738.9,6.663058017307621e-17,1.6123268089744778e-18
-1738.7,6.683030383982023e-17,1.6317490031417325e-18
-1738.5,6.648115520526523e-17,1.574405965357615e-18
-1738.3000000000002,6.698379490722762e-17,1.6209809411846191e-18
-1738.1000000000001,6.662763028987718e-17,1.5985622917131382e-18
-1737.9,6.692595720067136e-17,1.6340355030518216e-18
-1737.7,6.662113834416729e-17,1.593629480358848e-18
-1737.5,6.692777343075383e-17,1.6099486565906677e-18
-1737.3,6.682032960484054e-17,1.6088579500385606e-18
-1737.1000000000001,6.664194001092573e-17,1.6275570166399075e-18
-1736.9,6.708791563589389e-17,1.5793943744696325e-18
-1736.7,6.670557273714035e-17,1.6359387649745487e-18
-1736.5,6.707879708764752e-17,1.6053738432369992e-18
-1736.3,6.669356269954505e-17,1.6260343747297936e-18
-1736.1,6.705617923699029e-17,1.5896802903806252e-18
-1735.9,6.67826638453673e-17,1.6255001193222802e-18
-1735.7,6.717112278815547e-17,1.6140655771503818e-18
-1735.5,6.692325570605386e-17,1.616144724255804e-18
-1735.3,6.688197443517312e-17,1.615138178953413e-18
-1735.1,6.710032997730198e-17,1.6010937155177216e-18
-1734.8999999999999,6.698170592501251e-17,1.627847794684275e-18
-1734.7,6.701254456104326e-17,1.6174856384518396e-18
-1734.5,6.699554580340711e-17,1.6137807722137004e-18
-1734.3,6.709329868384606e-17,1.611067675521157e-18
-1734.1,6.717210409130641e-17,1.6209075338334305e-18
-1733.8999999999999,6.70015999927231e-17,1.6143968849884226e-18
-1733.6999999999998,6.72962558334022e-17,1.619553601381028e-18
-1733.5,6.699549980710042e-17,1.6174311501082258e-18
-1733.3,6.710144540147189e-17,1.6102102136170432e-18
-1733.1,6.719406697804239e-17,1.6298739498988304e-18
-1732.8999999999999,6.731861370131559e-17,1.6171400047374127e-18
-1732.6999999999998,6.703750550888187e-17,1.6134043721155632e-18
-1732.4999999999998,6.716325806595283e-17,1.619496358534292e-18
-1732.3,6.74459935033465e-17,1.6486647644652278e-18
-1732.1,6.713320260323575e-17,1.6003765298269415e-18
-1731.8999999999999,6.722278843591919e-17,1.6139388046001907e-18
-1731.6999999999998,6.732968899123715e-17,1.625314682244986e-18
-1731.4999999999998,6.735669300784316e-17,1.6290665043723019e-18
-1731.2999999999997,6.721223079157253e-17,1.6147850815304693e-18
-1731.1,6.747047304822543e-17,1.6096276751922734e-18
-1730.8999999999999,6.717450437313914e-17,1.64459596286208e-18
-1730.6999999999998,6.746805025982777e-17,1.6060888884799095e-18
-1730.4999999999998,6.719534343999726e-17,1.6495784544047672e-18
-1730.2999999999997,6.768232314734077e-17,1.6226102672918893e-18
-1730.0999999999997,6.723450902320585e-17,1.5797654348312366e-18
-1729.8999999999999,6.751173313112841e-17,1.6853741715255136e-18
-1729.6999999999998,6.742918399671624e-17,1.5848682409194668e-18
-1729.4999999999998,6.734965734806026e-17,1.646416354770679e-18
-1729.2999999999997,6.764643486177495e-17,1.6242275666051317e-18
-1729.0999999999997,6.739060279306432e-17,1.6221122625241562e-18
-1728.8999999999996,6.755453436834388e-17,1.6281080313799252e-18
-1728.6999999999998,6.74485181648102e-17,1.6170186042456656e-18
-1728.4999999999998,6.761639825350211e-17,1.6447760054429606e-18
-1728.2999999999997,6.766775674334954e-17,1.6247633028316486e-18
-1728.0999999999997,6.742306810341716e-17,1.632543048100069e-18
-1727.9,6.766013512489464e-17,1.629586652121728e-18
-1727.7000000000003,6.765833599194696e-17,1.6089178484693034e-18
-1727.5000000000002,6.750467333889289e-17,1.6469116389446314e-18
-1727.3000000000002,6.774862765672762e-17,1.6269224975147673e-18
-1727.1000000000001,6.75448121778458e-17,1.6318303250191885e-18
-1726.9,6.781136315049369e-17,1.6230118986584571e-18
-1726.7,6.75731746503432e-17,1.638064993607281e-18
-1726.5000000000002,6.778698009144635e-17,1.6399974930472178e-18
-1726.3000000000002,6.774116768693073e-17,1.6304540395711085e-18
-1726.1000000000001,6.76948022471542e-17,1.6252920177494435e-18
-1725.9,6.778363846261313e-17,1.6318170168703507e-18
-1725.7,6.77879489920852e-17,1.6288899495433292e-18
-1725.5,6.767080803024046e-17,1.6469617481215236e-18
-1725.3000000000002,6.795558547422758e-17,1.6296232661324977e-18
-1725.1000000000001,6.782014379658651e-17,1.6314738671414732e-18
-1724.9,6.780894551634081e-17,1.6397680108474452e-18
-1724.7,6.787877363435837e-17,1.647245048198965e-18
-1724.5,6.784128083432859e-17,1.6243916039771994e-18
-1724.3,6.791483049753344e-17,1.6133988798494043e-18
-1724.1000000000001,6.794296880321057e-17,1.6736502209559033e-18
-1723.9,6.796030308939912e-17,1.627241861754485e-18
-1723.7,6.783393303711294e-17,1.6313386453588469e-18
-1723.5,6.79734786741317e-17,1.629883906425604e-18
-1723.3,6.803775453639405e-17,1.6482428751230553e-18
-1723.1,6.798709764622805e-17,1.6308632196001198e-18
-1722.9,6.79464964241594e-17,1.6513133919179247e-18
-1722.7,6.808302734432754e-17,1.6432577996699919e-18
-1722.5,6.804196770121891e-17,1.6158112309319215e-18
-1722.3,6.804974852857758e-17,1.6601926726978966e-18
-1722.1,6.804278018266976e-17,1.6435402659038591e-18
-1721.8999999999999,6.811803514832679e-17,1.6089300610558648e-18
-1721.7,6.821520231070021e-17,1.6899439928088484e-18
-1721.5,6.785771117936059e-17,1.6152076741694549e-18
-1721.3,6.84210154412946e-17,1.6424958863781717e-18
-1721.1,6.802175809686773e-17,1.635537683932063e-18
-1720.8999999999999,6.827491315852099e-17,1.6589491317247259e-18
-1720.6999999999998,6.809021260444647e-17,1.64676304711638e-18
-1720.5,6.826172095599103e-17,1.643676714458077e-18
-1720.3,6.821514112934831e-17,1.6221719283451034e-18
-1720.1,6.830382650106355e-17,1.6476959560887429e-18
-1719.8999999999999,6.817640607133688e-17,1.67122272600415e-18
-1719.6999999999998,6.829548200813057e-17,1.6231474644390542e-18
-1719.4999999999998,6.827365711530437e-17,1.6764955613330795e-18
-1719.3,6.845874453067462e-17,1.6143855466719551e-18
-1719.1,6.81163905812708e-17,1.6522019066683091e-18
-1718.8999999999999,6.848543730622132e-17,1.6567236989510528e-18
-1718.6999999999998,6.833377923560585e-17,1.6279881120303272e-18
-1718.4999999999998,6.841394612310009e-17,1.6674825815191269e-18
-1718.2999999999997,6.832433278490529e-17,1.628752612153561e-18
-1718.1,6.844946324239878e-17,1.6734682890533386e-18
-1717.8999999999999,6.841583500137867e-17,1.6318629954303327e-18
-1717.6999999999998,6.84488524009796e-17,1.669062133734379e-18
-1717.4999999999998,6.850402913771934e-17,1.644104956953911e-18
-1717.2999999999997,6.836789025892546e-17,1.6364925563127962e-18
-1717.0999999999997,6.859090201365448e-17,1.6529933541750878e-18
-1716.8999999999999,6.84473204507504e-17,1.6640252255944133e-18
-1716.6999999999998,6.867870662581633e-17,1.642822327774185e-18
-1716.4999999999998,6.84026315260898e-17,1.6533181706698954e-18
-1716.2999999999997,6.861069461325793e-17,1.6441915761911593e-18
-1716.0999999999997,6.854746296315647e-17,1.6681442899973439e-18
-1715.8999999999996,6.867865659942213e-17,1.6423297098085186e-18
-1715.6999999999998,6.860366937952073e-17,1.672210997162244e-18
-1715.5000000000002,6.85319561235052e-17,1.6372150845063249e-18
-1715.3000000000002,6.883071649534784e-17,1.6461696934397244e-18
-1715.1000000000001,6.843322332135006e-17,1.6665082373741179e-18
-1714.9,6.88788365429006e-17,1.6558776247008664e-18
-1714.7,6.85924173118622e-17,1.6683981717790138e-18
-1714.5000000000002,6.875140071144223e-17,1.6185890282117602e-18
-1714.3000000000002,6.873508593484401e-17,1.692365645213901e-18
-1714.1000000000001,6.877998171402489e-17,1.6336203747797216e-18
-1713.9,6.869523882841792e-17,1.6845618725358102e-18
-1713.7,6.887157142991261e-17,1.6524178616457534e-18
-1713.5,6.876919004077418e-17,1.637315529104123e-18
-1713.3000000000002,6.878099308724885e-17,1.6640975417773283e-18
-1713.1000000000001,6.89196445947025e-17,1.6733136924905888e-18
-1712.9,6.865255631623457e-17,1.6481500537701434e-18
-1712.7,6.90700603678195e-17,1.658939127165653e-18
-1712.5,6.878284797686194e-17,1.6749606467323939e-18
-1712.3,6.899485069137166e-17,1.6450131696010218e-18
-1712.1000000000001,6.891983751343697e-17,1.6682729086124404e-18
-1711.9,6.884865183165645e-17,1.6683739303751395e-18
-1711.7,6.900975630283727e-17,1.6474081978001905e-18
-1711.5,6.89256694430588e-17,1.6619524197363551e-18
-1711.3,6.905491823451435e-17,1.6681423215432962e-18
-1711.1,6.887143565414944e-17,1.6714417888620887e-18
-1710.9,6.922176675285046e-17,1.6594168008273925e-18
-1710.7,6.889946562466151e-17,1.6480360632925366e-18
-1710.5,6.906771305980615e-17,1.6737190477046857e-18
-1710.3,6.916948568669195e-17,1.674610778472709e-18
-1710.1,6.904306297985149e-17,1.6569731232318786e-18
-1709.8999999999999,6.901949978370113e-17,1.6833584312731569e-18
-1709.7,6.921955021831494e-17,1.6343103865873696e-18
-1709.5,6.907454875845178e-17,1.6978175668155303e-18
-1709.3,6.923502669326479e-17,1.6469198725170528e-18
-1709.1,6.915984874330025e-17,1.6797848481857219e-18
-1708.8999999999999,6.922305252714999e-17,1.6583723979115405e-18
-1708.6999999999998,6.910961499127337e-17,1.6390666160939388e-18
-1708.5,6.9372936141093e-17,1.71371638247948e-18
-1708.3,6.902889139593347e-17,1.6683154069649861e-18
-1708.1,6.938972884384242e-17,1.6394817958279183e-18
-1707.8999999999999,6.940167893286971e-17,1.6771674938145905e-18
-1707.6999999999998,6.899586045020435e-17,1.6845987024063743e-18
-1707.4999999999998,6.961315603804046e-17,1.6593981181193699e-18
-1707.3,6.921664420855784e-17,1.6716330128528222e-18
-1707.1,6.926004147289549e-17,1.6692050433244562e-18
-1706.8999999999999,6.95000216562195e-17,1.6812341596272103e-18
-1706.6999999999998,6.934603459050942e-17,1.6787672252170432e-18
-1706.4999999999998,6.925472652612056e-17,1.6681594448183926e-18
-1706.2999999999997,6.967796992563609e-17,1.6530170306900214e-18
-1706.1,6.919124982047978e-17,1.7040477253480244e-18
-1705.8999999999999,6.960522990964749e-17,1.6520032411105683e-18
-1705.6999999999998,6.940782059422327e-17,1.6701751406164257e-18
-1705.4999999999998,6.948318672629956e-17,1.6751192315444087e-18
-1705.2999999999997,6.951579029328046e-17,1.7023846583929286e-18
-1705.0999999999997,6.95416943683125e-17,1.6443736760744802e-18
-1704.8999999999999,6.950377909688066e-17,1.7013960611780414e-18
-1704.6999999999998,6.951986684588518e-17,1.6618065901029573e-18
-1704.4999999999998,6.964767620077886e-17,1.6823837104935738e-18
-1704.2999999999997,6.952327682640526e-17,1.6612235450754818e-18
-1704.0999999999997,6.969156649785035e-17,1.6933927327197005e-18
-1703.8999999999996,6.947934454125179e-17,1.6832473906630162e-18
-1703.6999999999998,6.974659992829822e-17,1.652660994711605e-18
-1703.4999999999998,6.962731982490822e-17,1.7014877362433146e-18
-1703.2999999999997,6.970864864227652e-17,1.6686781919761271e-18
-1703.0999999999997,6.954167721541048e-17,1.6954950434530524e-18
-1702.9,6.995410854987567e-17,1.6528936019601085e-18
-1702.7000000000003,6.960769565371995e-17,1.7175497085170073e-18
-1702.5000000000002,6.982637339113613e-17,1.6588435016628103e-18
-1702.3000000000002,6.960683858795136e-17,1.6772948586940956e-18
-1702.1000000000001,6.98110815052787e-17,1.6882560244423625e-18
-1701.9,6.985360829976191e-17,1.677906092217473e-18
-1701.7,6.969148749099091e-17,1.6816037345508732e-18
-1701.5000000000002,6.990283842956442e-17,1.7053674114048657e-18
-1701.3000000000002,6.996200039469549e-17,1.6477787694030245e-18
-1701.1000000000001,6.981319967279649e-17,1.7123183647710571e-18
-1700.9,6.983926740407188e-17,1.6563324449909712e-18
-1700.7,6.991936748424496e-17,1.7213327097644673e-18
-1700.5,6.992322185230912e-17,1.6607344069751725e-18
-1700.3000000000002,6.980245438959167e-17,1.6957305551486223e-18
-1700.1000000000001,7.012002162654237e-17,1.6958947469886094e-18
-1699.9,6.980626513748057e-17,1.651409162892383e-18
-1699.7,7.017525832045165e-17,1.7124111935009125e-18
-1699.5,6.995047927804088e-17,1.6773366605543764e-18
-1699.3,6.987822224000344e-17,1.7050708483785618e-18
-1699.1000000000001,7.020331844488171e-17,1.6744200171894436e-18
-1698.9,6.998670509607778e-17,1.686298802604441e-18
-1698.7,7.004134880691585e-17,1.6871154411412865e-18
-1698.5,7.019387099420457e-17,1.7084090712538192e-18
-1698.3,7.00475892839487e-17,1.666346303139479e-18
-1698.1,7.013129916710055e-17,1.7113496747666389e-18
-1697.9,7.008880449726727e-17,1.6688865172330178e-18
-1697.7,7.024352511554755e-17,1.6971311563268075e-18
-1697.5,7.022523390464083e-17,1.6984225444245736e-18
-1697.3,7.003297721668568e-17,1.6811685805771713e-18
-1697.1,7.024108983568091e-17,1.7017887144580046e-18
-1696.8999999999999,7.039253669051303e-17,1.6929225568196803e-18
-1696.7,7.002381746408361e-17,1.7056009329734776e-18
-1696.5,7.037371333124678e-17,1.6659861447196274e-18
-1696.3,7.041153308966723e-17,1.7188582695513948e-18
-1696.1,7.00571718023251e-17,1.6810039257965147e-18
-1695.8999999999999,7.043763535813757e-17,1.6955564561820442e-18
-1695.6999999999998,7.041762160225628e-17,1.6909941754710367e-18
-1695.5,7.016077219406177e-17,1.6827220654890317e-18
-1695.3,7.044127310356234e-17,1.7193322282644479e-18
-1695.1,7.039123415866518e-17,1.6928068325787919e-18
-1694.8999999999999,7.055448100671896e-17,1.6930793218183313e-18
-1694.6999999999998,7.026260500293289e-17,1.705616107545205e-18
-1694.4999999999998,7.045386978677449e-17,1.685098931250293e-18
-1694.3,7.048994107057861e-17,1.701772884080584e-18
-1694.1,7.03904812570852e-17,1.6871423840321201e-18
-1693.8999999999999,7.066195758120065e-17,1.7169120480048294e-18
-1693.6999999999998,7.026671317311469e-17,1.6968940668799673e-18
-1693.4999999999998,7.075123399973612e-17,1.7040208571339714e-18
-1693.2999999999997,7.050048668790851e-17,1.6888627025895016e-18
-1693.1,7.04629888759494e-17,1.7151203727131004e-18
-1692.8999999999999,7.064570305893138e-17,1.6823694560536647e-18
-1692.6999999999998,7.054320805655928e-17,1.7142407365597556e-18
-1692.4999999999998,7.065755373486205e-17,1.6830417396514991e-18
-1692.2999999999997,7.060901964227692e-17,1.7359292084860255e-18
-1692.0999999999997,7.078885847746132e-17,1.680494673376958e-18
-1691.8999999999999,7.058950498975138e-17,1.7087410967616877e-18
-1691.6999999999998,7.058157039246372e-17,1.7034635887307396e-18
-1691.4999999999998,7.079872143555248e-17,1.711031237534945e-18
-1691.2999999999997,7.07028235967846e-17,1.6775447776644006e-18
-1691.0999999999997,7.072175984022226e-17,1.7280148860017974e-18
-1690.8999999999996,7.076863490577102e-17,1.6994336253392215e-18
-1690.6999999999998,7.071827215788675e-17,1.709914933587357e-18
-1690.5000000000002,7.089466160905815e-17,1.7005605159095864e-18
-1690.3000000000002,7.076100110327523e-17,1.7105545866611558e-18
-1690.1000000000001,7.079764213344739e-17,1.7103575203324653e-18
-1689.9,7.08514196719755e-17,1.7145497431743223e-18
-1689.7,7.084359049297481e-17,1.7017572027378047e-18
-1689.5000000000002,7.099421746486617e-17,1.6878161385117363e-18
-1689.3000000000002,7.079752502273391e-17,1.7268323679838862e-18
-1689.1000000000001,7.096311244428084e-17,1.705386565304317e-18
-1688.9,7.08962905729629e-17,1.7052008164271625e-18
-1688.7,7.09594002708788e-17,1.7194318179836116e-18
-1688.5,7.092570077332509e-17,1.7050804730109358e-18
-1688.3000000000002,7.108888533031374e-17,1.7042340177662861e-18
-1688.1000000000001,7.094798330713884e-17,1.7033251250344436e-18
-1687.9,7.089804824290818e-17,1.732020496290169e-18
-1687.7,7.125879874823042e-17,1.7182156273941438e-18
-1687.5,7.087346654005654e-17,1.7048898227490723e-18
-1687.3,7.116414915845874e-17,1.701642841298243e-18
-1687.1000000000001,7.11510876864116e-17,1.7266606063600657e-18
-1686.9,7.098375439827289e-17,1.7045625722470597e-18
-1686.7,7.111536525586214e-17,1.7167833520873729e-18
-1686.5,7.12562251336426e-17,1.722344765985232e-18
-1686.3,7.115616408752107e-17,1.712148986958453e-18
-1686.1,7.110041536173866e-17,1.7098303364293027e-18
-1685.9,7.119399156586045e-17,1.7009709010996408e-18
-1685.7,7.128294673402811e-17,1.7332724193756123e-18
-1685.5,7.111386218622704e-17,1.7106626332495027e-18
-1685.3,7.140636453315405e-17,1.738628945242668e-18
-1685.1,7.116881750520278e-17,1.7017276443414706e-18
-1684.8999999999999,7.137312718743168e-17,1.7159255457087206e-18
-1684.7,7.127901944583816e-17,1.71377031234541e-18
-1684.5,7.126852359264811e-17,1.7278746149269726e-18
-1684.3,7.140693534268381e-17,1.7158934227338665e-18
-1684.1,7.138274439766383e-17,1.729739556447099e-18
-1683.8999999999999,7.124701237235567e-17,1.71515579515275e-18
-1683.6999999999998,7.147129750274917e-17,1.7182113243667283e-18
-1683.5,7.139299387776154e-17,1.7231326982915354e-18
-1683.3,7.151520967214529e-17,1.6973491355920701e-18
-1683.1,7.134435292782409e-17,1.7613829514455735e-18
-1682.8999999999999,7.151510419325581e-17,1.7057647002866668e-18
-1682.6999999999998,7.139560127687044e-17,1.7147566167586705e-18
-1682.4999999999998,7.161938592725398e-17,1.7378894758243213e-18
-1682.3,7.146512066219162e-17,1.7076329024325648e-18
-1682.1,7.158665499948089e-17,1.7387790843030695e-18
-1681.8999999999999,7.146684950393562e-17,1.7299520048622607e-18
-1681.6999999999998,7.169107315613765e-17,1.713088987783023e-18
-1681.4999999999998,7.157916552079834e-17,1.735976073240424e-18
-1681.2999999999997,7.141740541559389e-17,1.6980742446931286e-18
-1681.1,7.181998006306719e-17,1.7530137367977892e-18
-1680.8999999999999,7.152141301450068e-17,1.7097655238264494e-18
-1680.6999999999998,7.177995261465249e-17,1.7400748170878815e-18
-1680.4999999999998,7.161442357164382e-17,1.71594015370931e-18
-1680.2999999999997,7.171822323213311e-17,1.7546408216063797e-18
-1680.0999999999997,7.159649683412146e-17,1.6785936362059642e-18
-1679.8999999999999,7.193490508427218e-17,1.7799105879679025e-18
-1679.6999999999998,7.166645908412804e-17,1.7163097358073384e-18
-1679.4999999999998,7.177685665549501e-17,1.7228147494409841e-18
-1679.2999999999997,7.177286003887989e-17,1.7132259175531026e-18
-1679.0999999999997,7.18481178020115e-17,1.7625468746888203e-18
-1678.8999999999996,7.171422192579429e-17,1.7005260376648857e-18
-1678.6999999999998,7.193788633717193e-17,1.752576575466699e-18
-1678.4999999999998,7.18239917473088e-17,1.7248861199176386e-18
-1678.2999999999997,7.190048417465059e-17,1.756453719839434e-18
-1678.1000000000001,7.190075835570399e-17,1.6966096373430633e-18
-1677.9,7.18526537751812e-17,1.760549088532176e-18
-1677.7000000000003,7.193017724305576e-17,1.7013009182882038e-18
-1677.5000000000002,7.207169344402251e-17,1.765113846464618e-18
-1677.3000000000002,7.18424545301502e-17,1.7072438140455493e-18
-1677.1000000000001,7.203472574879863e-17,1.7610786307176647e-18
-1676.9,7.20693248223294e-17,1.7325057571059808e-18
-1676.7,7.189711022064989e-17,1.7246235106075504e-18
-1676.5000000000002,7.212430418196867e-17,1.7444173461003357e-18
-1676.3000000000002,7.216254462347722e-17,1.7203571659938078e-18
-1676.1000000000001,7.189013822466473e-17,1.757649245175783e-18
-1675.9,7.209824989234246e-17,1.7231511115707961e-18
-1675.7,7.217642649638698e-17,1.7494937459636836e-18
-1675.5,7.212415046243812e-17,1.7306397093795441e-18
-1675.3000000000002,7.206794619321882e-17,1.7308340051867064e-18
-1675.1000000000001,7.240070266560219e-17,1.742083134959533e-18
-1674.9,7.200913019020656e-17,1.7588481643313136e-18
-1674.7,7.21880802552239e-17,1.742367472766808e-18
-1674.5,7.224148666867857e-17,1.7159979692925955e-18
-1674.3,7.233858339670253e-17,1.7500753637606826e-18
-1674.1000000000001,7.215906835429856e-17,1.744985030024607e-18
-1673.9,7.224290855680588e-17,1.7333193529066775e-18
-1673.7,7.235433948812247e-17,1.755279115536268e-18
-1673.5,7.230524301486901e-17,1.7407733828863057e-18
-1673.3,7.244337633736349e-17,1.7318762258179264e-18
-1673.1,7.212962624903867e-17,1.7497447603241933e-18
-1672.9,7.248999647999474e-17,1.735067352478164e-18
-1672.7,7.243380417149488e-17,1.7705658884113737e-18
-1672.5,7.230753507699211e-17,1.7270049492042957e-18
-1672.3,7.247134542500864e-17,1.7474132826858335e-18
