Time_step,Omega_New,S_Omega
20,-9.9,2.8290263130453374e-07
20,-9.7,9.534698845568612e-07
20,-9.5,2.177263324076475e-07
20,-9.299999999999999,7.961524844607412e-07
20,-9.100000000000001,7.932091521193457e-07
20,-8.9,2.502223803064257e-06
20,-8.700000000000001,3.016918938054102e-06
20,-8.5,1.6313648123474736e-07
20,-8.3,3.344023474009038e-07
20,-8.1,1.7613643680884426e-07
20,-7.8999999999999995,5.794195717165758e-07
20,-7.699999999999999,1.519275130459083e-06
20,-7.499999999999999,6.485928610194782e-07
20,-7.299999999999999,9.8561981316436e-07
20,-7.099999999999999,2.7179405985219065e-06
20,-6.900000000000001,4.890145393416607e-06
20,-6.700000000000001,3.6165960560644977e-06
20,-6.500000000000001,8.322628103333209e-07
20,-6.300000000000001,1.638870482920252e-07
20,-6.1000000000000005,4.6833360192230324e-08
20,-5.8999999999999995,2.3068163360378692e-07
20,-5.699999999999999,1.6319817468231508e-07
20,-5.499999999999999,2.6831989347767914e-07
20,-5.299999999999999,1.3118841364093305e-06
20,-5.099999999999999,1.6785196318395044e-06
20,-4.900000000000001,1.4868369679579731e-06
20,-4.700000000000001,7.692405098251459e-07
20,-4.500000000000001,4.5974358170045943e-07
20,-4.300000000000001,2.641937460231183e-07
20,-4.1000000000000005,1.1677893123721955e-07
20,-3.9,1.2151270386924723e-07
20,-3.6999999999999997,7.298575148515202e-08
20,-3.4999999999999996,2.2615636169657876e-07
20,-3.2999999999999994,3.920962966161614e-07
20,-3.099999999999999,1.5279356454208255e-07
20,-2.899999999999999,8.359949009054957e-08
20,-2.699999999999999,1.9928332945122713e-07
20,-2.4999999999999987,2.78692234934849e-07
20,-2.2999999999999985,1.267609713691456e-07
20,-2.0999999999999983,1.717446103547799e-08
20,-1.8999999999999981,6.8378257556695865e-09
20,-1.699999999999998,6.092649403861884e-09
20,-1.5000000000000013,1.4761748812994054e-08
20,-1.3000000000000012,1.404949363280162e-08
20,-1.100000000000001,2.531526885725033e-09
20,-0.9000000000000008,3.080782275561434e-09
20,-0.7000000000000006,4.5576239755403275e-09
20,-0.5000000000000004,3.469411469605325e-09
20,-0.30000000000000027,5.666732293857941e-10
20,-0.10000000000000009,1.0087786752391745e-11
20,0.10000000000000009,1.0087786752391912e-11
20,0.30000000000000027,5.66673229385804e-10
20,0.5000000000000004,3.4694114696052992e-09
20,0.7000000000000006,4.557623975540305e-09
20,0.9000000000000008,3.080782275561422e-09
20,1.100000000000001,2.5315268857249497e-09
20,1.3000000000000012,1.404949363280145e-08
20,1.5000000000000013,1.476174881299418e-08
20,1.7000000000000015,6.0926494038619874e-09
20,1.9000000000000017,6.837825755669683e-09
20,2.100000000000002,1.717446103547847e-08
20,2.300000000000002,1.267609713691467e-07
20,2.500000000000002,2.7869223493484937e-07
20,2.699999999999999,1.9928332945122806e-07
20,2.899999999999999,8.359949009054902e-08
20,3.099999999999999,1.5279356454208025e-07
20,3.2999999999999994,3.9209629661615896e-07
20,3.4999999999999996,2.2615636169657823e-07
20,3.6999999999999997,7.298575148515138e-08
20,3.9,1.2151270386924863e-07
20,4.1000000000000005,1.1677893123722284e-07
20,4.300000000000001,2.6419374602312185e-07
20,4.500000000000001,4.597435817004624e-07
20,4.700000000000001,7.692405098251528e-07
20,4.900000000000001,1.4868369679579911e-06
20,5.100000000000001,1.6785196318395082e-06
20,5.300000000000002,1.3118841364093246e-06
20,5.500000000000002,2.6831989347767877e-07
20,5.700000000000002,1.6319817468231635e-07
20,5.900000000000002,2.3068163360378927e-07
20,6.100000000000002,4.6833360192231886e-08
20,6.3000000000000025,1.6388704829202181e-07
20,6.500000000000003,8.322628103333188e-07
20,6.700000000000003,3.616596056064487e-06
20,6.899999999999999,4.890145393416603e-06
20,7.099999999999999,2.7179405985218955e-06
20,7.299999999999999,9.856198131643592e-07
20,7.499999999999999,6.485928610194789e-07
20,7.699999999999999,1.5192751304590686e-06
20,7.8999999999999995,5.79419571716574e-07
20,8.1,1.7613643680884648e-07
20,8.3,3.344023474009083e-07
20,8.5,1.6313648123474783e-07
20,8.700000000000001,3.0169189380541163e-06
20,8.9,2.502223803064249e-06
20,9.100000000000001,7.932091521193337e-07
